round,run_id,agent_id,case,domain,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,shared_nodes,residual_key,residual_entries,output_grouping,evidence_path,notes,shard_csv,shared_structure,method_signature,area,delay,adp,hypothesis,representation,expected_sharing,observed_result,variant,structure_family
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex200,bf16,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2,shared_bf16_exp_field_shell,3,16,reduce duplicated output decode while preserving official truth equivalence,3650,16,58400,"sign_exp,mant_hi,mant_lo",sep_fields_e4_m3_s0_bits_14_bh2,see generated Verilog,separate output fields plus selected exponent-msb predicate,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/logs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.evaluate.py.log,separate fields exp_hi=4 mant_hi=3 sign_hi=0 items=3252; sep bit overrides bits=14 bit_hi_bits=2 bit_items=26; official evaluate.py OK; runtime_sec=2.804,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/shared_structure_report.csv,,,,,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex201,bf16,ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1,shared_bf16_exp2_field_shell,3,16,reduce duplicated output decode while preserving official truth equivalence,1633,15,24495,"sign_exp,mant_hi,mant_lo",sep_fields_e3_m3_s0_bits_2_3_bh1,see generated Verilog,separate output fields plus paired low-bit predicates,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/logs/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.evaluate.py.log,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3122; sep bit overrides bits=2_3 bit_hi_bits=1 bit_items=2338; official evaluate.py OK; runtime_sec=2.211,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/shared_structure_report.csv,,,,,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex202,bf16,ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15,bf16_exp10_compact_formula_residual,3,16,reduce duplicated output decode while preserving official truth equivalence,3486,17,59262,"sign_exp,mant_hi,mant_lo",sep_fields_e3_m3_s0_formula_bits_14_15,see generated Verilog,separate output fields with hand formula for bit14 and constant sign bit,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex202/logs/ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15.evaluate.py.log,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3402; formula bit overrides bits=14_15 bit_items=2; official evaluate.py OK; runtime_sec=2.762,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/shared_structure_report.csv,,,,,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex203,bf16,ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2,bf16_log_grouped_output_residual,3,16,reduce duplicated output decode while preserving official truth equivalence,4610,17,78370,"sign_exp,mant_hi,mant_lo",sep_fields_e3_m3_s2_bits_13_14_bh2,see generated Verilog,current-style separated fields with an additional grouped bit13 residual,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex203/logs/ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2.evaluate.py.log,separate fields exp_hi=3 mant_hi=3 sign_hi=2 items=7941; sep bit overrides bits=13_14 bit_hi_bits=2 bit_items=93; official evaluate.py OK; runtime_sec=5.629,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/shared_structure_report.csv,,,,,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex204,bf16,ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14,bf16_log2_arithbase_compact_formula_residual,3,16,reduce duplicated output decode while preserving official truth equivalence,1544,18,27792,"sign_exp,mant_hi,mant_lo",log2_arithbase_delta_hilo3_formula_bits_9_11_14,see generated Verilog,semantic exponent base plus mantissa delta and compact formulas for bits 9/11/14,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/logs/ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14.evaluate.py.log,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides= bit_items=0; formula bit overrides bits=9_11_14 bit_items=3; official evaluate.py OK; runtime_sec=5.748,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/shared_structure_report.csv,,,,,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex204,bf16,ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14,bf16_log2_field_formula_residual,3,16,reduce duplicated output decode while preserving official truth equivalence,2250,16,36000,"sign_exp,mant_hi,mant_lo",sep_fields_e3_m3_s0_formula_bits_11_14,see generated Verilog,source-level output grouping with compact log2 sign/exponent formulas,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/logs/ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14.evaluate.py.log,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=8855; formula bit overrides bits=11_14 bit_items=2; official evaluate.py OK; runtime_sec=4.937,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/shared_structure_report.csv,,,,,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex205,bf16,ex205_r94_sign_exp_default_expr_casez_manual_bits_15,bf16_log10_default_expr_shell,3,16,reduce duplicated output decode while preserving official truth equivalence,4755,21,99855,"sign_exp,mant_hi,mant_lo",sign_exp_default_expr_casez_manual_bits_15,see generated Verilog,sign-exp default-expression shell plus compact sign predicate,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex205/logs/ex205_r94_sign_exp_default_expr_casez_manual_bits_15.evaluate.py.log,range-compressed sign-exp default expression groups=2 exceptions=32640 items=32905; manual formula bits=15; official evaluate.py OK; runtime_sec=7.754,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/shared_structure_report.csv,,,,,,,,,,,
,,sub-bf16-recip-power-r94,ex211,bf16,ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/aigs/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex211|round94_frontend_structural_bf16|bf16_reciprocal|hand_recip_formula_signmag_add_lut|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,272,12,3264,,,,,,
,,sub-bf16-recip-power-r94,ex211,bf16,ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/aigs/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex211|round94_frontend_structural_bf16|bf16_reciprocal|delta_pair_mode_hilo3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,296,12,3552,,,,,,
,,sub-bf16-recip-power-r94,ex211,bf16,ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/aigs/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex211|round94_frontend_structural_bf16|bf16_reciprocal|odd_pos_fields_e3_m3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,992,14,13888,,,,,,
,,sub-bf16-recip-power-r94,ex212,bf16,ex212_r94_bf16_square_hand_square_formula_mant_lut,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/aigs/ex212_r94_bf16_square_hand_square_formula_mant_lut.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/logs/ex212_r94_bf16_square_hand_square_formula_mant_lut.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex212|round94_frontend_structural_bf16|bf16_square|hand_square_formula_mant_lut|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,300,12,3600,,,,,,
,,sub-bf16-recip-power-r94,ex212,bf16,ex212_r94_bf16_square_pos_same_fields_e4_m3,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/aigs/ex212_r94_bf16_square_pos_same_fields_e4_m3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/logs/ex212_r94_bf16_square_pos_same_fields_e4_m3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex212|round94_frontend_structural_bf16|bf16_square|pos_same_fields_e4_m3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,476,13,6188,,,,,,
,,sub-bf16-recip-power-r94,ex212,bf16,ex212_r94_bf16_square_delta_pair_mode_hilo3_bits_15_bh1,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/aigs/ex212_r94_bf16_square_delta_pair_mode_hilo3_bits_15_bh1.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/logs/ex212_r94_bf16_square_delta_pair_mode_hilo3_bits_15_bh1.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex212|round94_frontend_structural_bf16|bf16_square|delta_pair_mode_hilo3_bits_15_bh1|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,302,11,3322,,,,,,
,,sub-bf16-recip-power-r94,ex213,bf16,ex213_r94_bf16_sqrt_sqrt_pos_nan_fields_e4_m3,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/aigs/ex213_r94_bf16_sqrt_sqrt_pos_nan_fields_e4_m3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/logs/ex213_r94_bf16_sqrt_sqrt_pos_nan_fields_e4_m3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex213|round94_frontend_structural_bf16|bf16_sqrt|sqrt_pos_nan_fields_e4_m3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,372,13,4836,,,,,,
,,sub-bf16-recip-power-r94,ex213,bf16,ex213_r94_bf16_sqrt_sep_fields_e4_m3_s3_bits_1_bh1,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/aigs/ex213_r94_bf16_sqrt_sep_fields_e4_m3_s3_bits_1_bh1.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/logs/ex213_r94_bf16_sqrt_sep_fields_e4_m3_s3_bits_1_bh1.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex213|round94_frontend_structural_bf16|bf16_sqrt|sep_fields_e4_m3_s3_bits_1_bh1|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,346,11,3806,,,,,,
,,sub-bf16-recip-power-r94,ex213,bf16,ex213_r94_bf16_sqrt_sep_fields_e2_m4_s3_bits_1_bh1,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/aigs/ex213_r94_bf16_sqrt_sep_fields_e2_m4_s3_bits_1_bh1.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/logs/ex213_r94_bf16_sqrt_sep_fields_e2_m4_s3_bits_1_bh1.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex213|round94_frontend_structural_bf16|bf16_sqrt|sep_fields_e2_m4_s3_bits_1_bh1|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,359,12,4308,,,,,,
,,sub-bf16-recip-power-r94,ex214,bf16,ex214_r94_bf16_reciprocal_square_hand_recip_square_formula_mant_lut,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/aigs/ex214_r94_bf16_reciprocal_square_hand_recip_square_formula_mant_lut.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/logs/ex214_r94_bf16_reciprocal_square_hand_recip_square_formula_mant_lut.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex214|round94_frontend_structural_bf16|bf16_reciprocal_square|hand_recip_square_formula_mant_lut|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,358,18,6444,,,,,,
,,sub-bf16-recip-power-r94,ex214,bf16,ex214_r94_bf16_reciprocal_square_pos_same_fields_e4_m3,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/aigs/ex214_r94_bf16_reciprocal_square_pos_same_fields_e4_m3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/logs/ex214_r94_bf16_reciprocal_square_pos_same_fields_e4_m3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex214|round94_frontend_structural_bf16|bf16_reciprocal_square|pos_same_fields_e4_m3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,646,12,7752,,,,,,
,,sub-bf16-recip-power-r94,ex214,bf16,ex214_r94_bf16_reciprocal_square_delta_pair_mode_hilo3_bits_13_cmp,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/aigs/ex214_r94_bf16_reciprocal_square_delta_pair_mode_hilo3_bits_13_cmp.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/logs/ex214_r94_bf16_reciprocal_square_delta_pair_mode_hilo3_bits_13_cmp.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex214|round94_frontend_structural_bf16|bf16_reciprocal_square|delta_pair_mode_hilo3_bits_13_cmp|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,368,11,4048,,,,,,
,,sub-bf16-recip-power-r94,ex215,bf16,ex215_r94_bf16_reciprocal_sqrt_arith_semantic_fields,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/aigs/ex215_r94_bf16_reciprocal_sqrt_arith_semantic_fields.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/logs/ex215_r94_bf16_reciprocal_sqrt_arith_semantic_fields.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex215|round94_frontend_structural_bf16|bf16_reciprocal_sqrt|arith_semantic_fields|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,408,13,5304,,,,,,
,,sub-bf16-recip-power-r94,ex215,bf16,ex215_r94_bf16_reciprocal_sqrt_sep_fields_e4_m3_s3_bits_9_bh1,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/aigs/ex215_r94_bf16_reciprocal_sqrt_sep_fields_e4_m3_s3_bits_9_bh1.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/logs/ex215_r94_bf16_reciprocal_sqrt_sep_fields_e4_m3_s3_bits_9_bh1.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex215|round94_frontend_structural_bf16|bf16_reciprocal_sqrt|sep_fields_e4_m3_s3_bits_9_bh1|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,963,15,14445,,,,,,
