case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig.aig,1,1,1,140,40,5600,2651,2.112410,0,0,0.712,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig.aig,1,1,1,139,40,5560,2651,2.097322,0,0,0.700,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset.aig,1,1,1,136,43,5848,2651,2.205960,0,0,0.729,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig.aig,1,1,1,151,42,6342,2651,2.392305,0,0,0.735,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig.aig,1,1,1,152,42,6384,2651,2.408148,0,0,0.730,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset.aig,1,1,1,151,42,6342,2651,2.392305,0,0,0.750,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi4_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig.aig,1,1,1,199,42,8358,2651,3.152773,0,0,0.753,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi4_interleave_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig.aig,1,1,1,199,43,8557,2651,3.227839,0,0,0.752,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi4_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset.aig,1,1,1,191,41,7831,2651,2.953980,0,0,0.780,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi2_bmsb_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig.aig,1,1,1,268,79,21172,11760,1.800340,0,0,1.088,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi2_bmsb_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig.aig,1,1,1,268,79,21172,11760,1.800340,0,0,1.093,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi2_bmsb_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset.aig,1,1,1,267,78,20826,11760,1.770918,0,0,1.087,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi3_bmsb_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig.aig,1,1,1,285,73,20805,11760,1.769133,0,0,1.160,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi3_bmsb_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig.aig,1,1,1,284,75,21300,11760,1.811224,0,0,1.149,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi3_bmsb_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset.aig,1,1,1,279,76,21204,11760,1.803061,0,0,1.129,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi4_bmsb_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig.aig,1,1,1,332,77,25564,11760,2.173810,0,0,1.130,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi4_bmsb_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig.aig,1,1,1,332,77,25564,11760,2.173810,0,0,1.128,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi4_bmsb_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset.aig,1,1,1,321,75,24075,11760,2.047194,0,0,1.152,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig.aig,1,1,1,268,75,20100,11760,1.709184,0,0,1.106,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig.aig,1,1,1,268,75,20100,11760,1.709184,0,0,1.110,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset.aig,1,1,1,264,77,20328,11760,1.728571,0,0,1.105,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig.aig,1,1,1,298,79,23542,11760,2.001871,0,0,1.168,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig.aig,1,1,1,298,79,23542,11760,2.001871,0,0,1.162,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset.aig,1,1,1,280,75,21000,11760,1.785714,0,0,1.149,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi4_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig.aig,1,1,1,336,83,27888,11760,2.371429,0,0,1.161,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi4_interleave_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig.aig,1,1,1,336,83,27888,11760,2.371429,0,0,1.148,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi4_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/verilog/ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset.aig,1,1,1,334,77,25718,11760,2.186905,0,0,1.169,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=synth_preset
